KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
SIBOLGA KOTA,3161,3866,7027
PADANG HULU,8165,6273,14438
BINJAI TIMUR,17748,10030,27778
PADANGSIDIMPUAN TENGGARA,9769,3925,13694
SEI TUALANG RASO,5044,3642,8686
DATUK BANDAR TIMUR,7560,4126,11686
PADANGSIDIMPUAN SELATAN,20957,8884,29841
BINJAI SELATAN,16054,9154,25208
TANJUNG BALAI UTARA,3523,3551,7074
PADANGSIDIMPUAN ANGKOLA JULU,2830,951,3781
PADANGSIDIMPUAN UTARA,24148,5833,29981
BAJENIS,8963,7862,16825
GUNUNGSITOLI UTARA,1333,6073,7406
TEBING TINGGI KOTA,5861,7338,13199
PADANGSIDIMPUAN BATUNADUA,7548,2276,9824
LUNANG,4741,5076,9817
GUNUNGSITOLI IDANOI,1153,9868,11021
PADANG HILIR,9204,6888,16092
RAMBUTAN,9399,7137,16536
GUNUNGSITOLI BARAT,313,3331,3644
KOTO XI TARUSAN,16477,5388,21865
PADANGSIDIMPUAN HUTAIMBARU,6595,1554,8149
BAYANG,16018,3220,19238
BASA AMPEK BALAI TAPAN,3384,2180,5564
GUNUNGSITOLI,6030,20577,26607
SUTERA,16484,4997,21481
RANAH AMPEK HULU TAPAN,4143,1864,6007
SILAUT,3708,3568,7276
PANTAI CERMIN,7142,1409,8551
GUNUNGSITOLI SELATAN,535,6019,6554
LINGGO SARI BAGANTI,13824,5574,19398
PANCUNG SOAL,6917,3211,10128
IX KOTO SEI LASI,4366,911,5277
AIRPURA,3805,2483,6288
HILIRAN GUMANTI,6056,1149,7205
IV NAGARI BAYANG UTARA,3711,549,4260
KUBUNG,23290,3836,27126
LEMBAH GUMANTI,19286,2441,21727
BATANG KAPAS,9918,3763,13681
BUKIT SUNDI,9553,1730,11283
RANAH PESISIR,9987,4188,14175
X KOTO SINGKARAK,13797,2730,16527
X KOTO DIATAS,7811,1579,9390
TIGO LURAH,3878,910,4788
TANJUNG GADANG,8787,1879,10666
